Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Shell, [Ljava.lang.String;], 1000, Sorted, 3005350
Radix, [Ljava.lang.String;], 1000, Unsorted, 5351750
Radix, [Ljava.lang.String;], 1000, Sorted, 4373550
Selection, [I], 10000, Unsorted, 1950
Selection, [I], 10000, Sorted, -450
Bubble, [I], 10000, Unsorted, -350
Bubble, [I], 10000, Sorted, -550
Insertion, [I], 10000, Unsorted, -450
Insertion, [I], 10000, Sorted, -550
Merge, [I], 10000, Unsorted, -550
Merge, [I], 10000, Sorted, -650
Quick, [I], 10000, Unsorted, -550
Quick, [I], 10000, Sorted, -650
Heap, [I], 10000, Unsorted, -250
Heap, [I], 10000, Sorted, -650
Shell, [I], 10000, Unsorted, 5426450
Shell, [I], 10000, Sorted, 519150
Radix, [I], 10000, Unsorted, 4300050
Radix, [I], 10000, Sorted, 1562950
Selection, [D], 10000, Unsorted, 250
Selection, [D], 10000, Sorted, -350
Bubble, [D], 10000, Unsorted, -550
Bubble, [D], 10000, Sorted, -450
Insertion, [D], 10000, Unsorted, -550
Insertion, [D], 10000, Sorted, -350
Merge, [D], 10000, Unsorted, -450
Merge, [D], 10000, Sorted, -450
Quick, [D], 10000, Unsorted, -650
Quick, [D], 10000, Sorted, -650
Heap, [D], 10000, Unsorted, -550
Heap, [D], 10000, Sorted, -550
Shell, [D], 10000, Unsorted, 5151550
Shell, [D], 10000, Sorted, 1457650
Radix, [D], 10000, Unsorted, 8799050
Radix, [D], 10000, Sorted, 8823750
Selection, [Ljava.lang.String;], 10000, Unsorted, 950
Selection, [Ljava.lang.String;], 10000, Sorted, -550
Bubble, [Ljava.lang.String;], 10000, Unsorted, -650
Bubble, [Ljava.lang.String;], 10000, Sorted, -650
Insertion, [Ljava.lang.String;], 10000, Unsorted, -550
Insertion, [Ljava.lang.String;], 10000, Sorted, -650
Merge, [Ljava.lang.String;], 10000, Unsorted, -750
Merge, [Ljava.lang.String;], 10000, Sorted, -750
Quick, [Ljava.lang.String;], 10000, Unsorted, -750
Quick, [Ljava.lang.String;], 10000, Sorted, -650
Heap, [Ljava.lang.String;], 10000, Unsorted, -550
Heap, [Ljava.lang.String;], 10000, Sorted, -650
Shell, [Ljava.lang.String;], 10000, Unsorted, 63686050
Shell, [Ljava.lang.String;], 10000, Sorted, 18862150
Radix, [Ljava.lang.String;], 10000, Unsorted, 14701250
Radix, [Ljava.lang.String;], 10000, Sorted, 12636650
Selection, [I], 50000, Unsorted, 4250
Selection, [I], 50000, Sorted, -250
Bubble, [I], 50000, Unsorted, -350
Bubble, [I], 50000, Sorted, -450
Insertion, [I], 50000, Unsorted, -450
Insertion, [I], 50000, Sorted, -650
Merge, [I], 50000, Unsorted, -650
Merge, [I], 50000, Sorted, -550
