Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Shell, [Ljava.lang.String;], 1000, Unsorted, 6254450
Shell, [Ljava.lang.String;], 1000, Sorted, 2231150
Radix, [Ljava.lang.String;], 1000, Unsorted, 2239950
Radix, [Ljava.lang.String;], 1000, Sorted, 2976850
Selection, [I], 10000, Unsorted, 150
Selection, [I], 10000, Sorted, -350
Bubble, [I], 10000, Unsorted, 103434650
Bubble, [I], 10000, Sorted, 16102550
Insertion, [I], 10000, Unsorted, 217050
Insertion, [I], 10000, Sorted, 241650
Merge, [I], 10000, Unsorted, 850
Merge, [I], 10000, Sorted, 650
Quick, [I], 10000, Unsorted, -350
Quick, [I], 10000, Sorted, -250
Heap, [I], 10000, Unsorted, -350
Heap, [I], 10000, Sorted, -350
Shell, [I], 10000, Unsorted, 1646850
Shell, [I], 10000, Sorted, 618250
Radix, [I], 10000, Unsorted, 2189150
Radix, [I], 10000, Sorted, 1987950
Selection, [D], 10000, Unsorted, -150
Selection, [D], 10000, Sorted, -450
Bubble, [D], 10000, Unsorted, 119472850
Bubble, [D], 10000, Sorted, 24668950
Insertion, [D], 10000, Unsorted, 367850
Insertion, [D], 10000, Sorted, 299150
Merge, [D], 10000, Unsorted, 350
Merge, [D], 10000, Sorted, -550
Quick, [D], 10000, Unsorted, -350
Quick, [D], 10000, Sorted, -350
Heap, [D], 10000, Unsorted, -450
Heap, [D], 10000, Sorted, -350
Shell, [D], 10000, Unsorted, 1975850
Shell, [D], 10000, Sorted, 613650
Radix, [D], 10000, Unsorted, 11546350
Radix, [D], 10000, Sorted, 6050150
Selection, [Ljava.lang.String;], 10000, Unsorted, 50
Selection, [Ljava.lang.String;], 10000, Sorted, -250
Bubble, [Ljava.lang.String;], 10000, Unsorted, 637922150
Bubble, [Ljava.lang.String;], 10000, Sorted, 714041550
Insertion, [Ljava.lang.String;], 10000, Unsorted, 1312350
Insertion, [Ljava.lang.String;], 10000, Sorted, 1371950
Merge, [Ljava.lang.String;], 10000, Unsorted, 150
Merge, [Ljava.lang.String;], 10000, Sorted, -350
Quick, [Ljava.lang.String;], 10000, Unsorted, -350
Quick, [Ljava.lang.String;], 10000, Sorted, -450
Heap, [Ljava.lang.String;], 10000, Unsorted, -150
Heap, [Ljava.lang.String;], 10000, Sorted, -350
Shell, [Ljava.lang.String;], 10000, Unsorted, 53033150
Shell, [Ljava.lang.String;], 10000, Sorted, 38338550
Radix, [Ljava.lang.String;], 10000, Unsorted, 24309250
Radix, [Ljava.lang.String;], 10000, Sorted, 19714950
Selection, [I], 50000, Unsorted, 1050
Selection, [I], 50000, Sorted, 950
Bubble, [I], 50000, Unsorted, 2947179650
Bubble, [I], 50000, Sorted, 402974250
Insertion, [I], 50000, Unsorted, 1096050
Insertion, [I], 50000, Sorted, 402650
Merge, [I], 50000, Unsorted, -350
Merge, [I], 50000, Sorted, -450
Quick, [I], 50000, Unsorted, -450
Quick, [I], 50000, Sorted, -350
Heap, [I], 50000, Unsorted, -350
Heap, [I], 50000, Sorted, -450
Shell, [I], 50000, Unsorted, 676850
Shell, [I], 50000, Sorted, 649250
Radix, [I], 50000, Unsorted, 5267450
Radix, [I], 50000, Sorted, 4753450
Selection, [D], 50000, Unsorted, -150
Selection, [D], 50000, Sorted, -350
Bubble, [D], 50000, Unsorted, 3748734550
Bubble, [D], 50000, Sorted, 516589450
Insertion, [D], 50000, Unsorted, 1481850
Insertion, [D], 50000, Sorted, 420350
Merge, [D], 50000, Unsorted, -350
Merge, [D], 50000, Sorted, -350
Quick, [D], 50000, Unsorted, -350
Quick, [D], 50000, Sorted, -350
